lon,lat,origin,,lon,lat,destination
113.317541,23.137504,p1,,113.318834,23.13689,p2
113.318834,23.13689,p2,,113.320703,23.136092,p3
113.320703,23.136092,p3,,113.322212,23.135394,p4
113.322212,23.135394,p4,,113.323829,23.134547,p5
113.323829,23.134547,p5,,113.325212,23.133799,p6
113.325212,23.133799,p6,,113.326614,23.133467,p7
113.326614,23.133467,p7,,113.329506,23.1334,p8
113.329506,23.1334,p8,,113.332039,23.133217,p9
113.332039,23.133217,p9,,113.33504,23.132968,p10
113.33504,23.132968,p10,,113.33777,23.132769,p11
113.33777,23.132769,p11,,113.341292,23.132603,p12
113.341292,23.132603,p12,,113.344292,23.132353,p13
113.321781,23.13001,a1,,113.321817,23.13232,a2
113.321817,23.13232,a2,,113.321888,23.136075,a3
113.321888,23.136075,a3,,113.321601,23.142672,a4
113.321601,23.142672,a4,,113.32126,23.147706,a5
113.314558,23.140578,b1,,113.317289,23.140313,b2
113.317289,23.140313,b2,,113.320038,23.139997,b3
113.320038,23.139997,b3,,113.323847,23.139781,b4
113.323847,23.139781,b4,,113.328302,23.139482,b5
113.328302,23.139482,b5,,113.332003,23.139299,b6
113.332003,23.139299,b6,,113.335507,23.139083,b7
113.335507,23.139083,b7,,113.339603,23.138917,b8
113.339603,23.138917,b8,,113.341076,23.138884,b9
113.341076,23.138884,b9,,113.343951,23.139681,b10
113.343951,23.139681,b10,,113.345729,23.140346,b11
113.328213,23.146776,c1,,113.328177,23.143802,c2
113.328177,23.143802,c2,,113.328177,23.141592,c3
113.328177,23.141592,c3,,113.328105,23.139482,c4
113.328105,23.139482,c4,,113.328015,23.137205,c5
113.328015,23.137205,c5,,113.327943,23.134763,c6
113.327943,23.134763,c6,,113.327781,23.131788,c7
113.327781,23.131788,c7,,113.327709,23.13001,c8
113.327709,23.13001,c8,,113.327476,23.129744,c9
113.327476,23.129744,c9,,113.32735,23.129545,c10
113.32735,23.129545,c10,,113.327458,23.129346,c11
113.327458,23.129346,c11,,113.327709,23.129163,c12
113.327709,23.129163,c12,,113.327763,23.126388,c13
113.33495,23.147092,d1,,113.334878,23.14342,d2
113.334878,23.14342,d2,,113.335022,23.138867,d3
113.335022,23.138867,d3,,113.334752,23.135211,d4
113.334752,23.135211,d4,,113.334644,23.132835,d5
113.334644,23.132835,d5,,113.334501,23.129096,d6
113.31454,23.133915,e1,,113.31454,23.133915,e2
113.31454,23.133915,e2,,113.319535,23.135295,e3
113.319535,23.135295,e3,,113.321439,23.135411,e4
113.321439,23.135411,e4,,113.322805,23.135594,e5
113.322805,23.135594,e5,,113.324458,23.136042,e6
113.324458,23.136042,e6,,113.326308,23.136632,e7
113.326308,23.136632,e7,,113.32717,23.136881,e8
113.32717,23.136881,e8,,113.32859,23.13684,e9
113.32859,23.13684,e9,,113.330494,23.136989,e10
113.330494,23.136989,e10,,113.332542,23.137156,e11
113.332542,23.137156,e11,,113.333656,23.137521,e12
113.333656,23.137521,e12,,113.334357,23.137937,e13
113.334357,23.137937,e13,,113.334986,23.138767,e14
113.334986,23.138767,f1,,113.337842,23.138933,f2
113.337842,23.138933,f2,,113.341022,23.138884,f3
113.341022,23.138884,f3,,113.345981,23.140578,f4
113.334986,23.138767,g1,,113.334896,23.140512,g2
113.328159,23.139083,h1,,113.328769,23.139881,h2
113.328769,23.139881,h2,,113.329632,23.140047,h3
113.329632,23.140047,h3,,113.330602,23.140097,h4
113.330602,23.140097,h4,,113.331536,23.13993,h5
113.331536,23.13993,h5,,113.332165,23.139731,h6
113.332165,23.139731,h6,,113.333872,23.139166,h7
113.333872,23.139166,h7,,113.337986,23.139017,h8
113.328159,23.139083,i1,,113.328572,23.140628,i2
113.328572,23.140628,i2,,113.329506,23.143702,i3
113.329506,23.143702,i3,,113.330315,23.146826,i4
113.329506,23.143702,j1,,113.330315,23.146826,j2
113.330315,23.143835,j2,,113.330189,23.141459,j3
113.330189,23.141459,j3,,113.330171,23.139432,j4
113.330171,23.139432,j4,,113.330458,23.138385,j5
113.330458,23.138385,j5,,113.330656,23.137571,j6
113.330656,23.137571,j6,,113.330782,23.135511,j7
113.330782,23.135511,j7,,113.330836,23.133782,j8
113.330836,23.133782,j8,,113.331015,23.131057,j9
113.331015,23.131057,j9,,113.331213,23.128432,j10
